epoch,accuracy,auc,loss,pr_auc,val_accuracy,val_auc,val_loss,val_pr_auc
0,0.904316782951355,0.5296259522438049,0.03817175328731537,0.05559608340263367,0.9471868872642517,0.5741462707519531,0.19309094548225403,0.07143926620483398
1,0.9280681610107422,0.5991072654724121,0.030094658955931664,0.07122312486171722,0.9479829668998718,0.5880656838417053,0.18911831080913544,0.07820454239845276
2,0.9332611560821533,0.6415255069732666,0.027809033170342445,0.08783725649118423,0.9471868872642517,0.5887646079063416,0.18904605507850647,0.08488792926073074
3,0.9346382021903992,0.6572696566581726,0.0266301017254591,0.09394022077322006,0.9509022831916809,0.5947228074073792,0.17820942401885986,0.08937102556228638
4,0.9381604194641113,0.6911835670471191,0.025363190099596977,0.1058003306388855,0.9487791657447815,0.6126801371574402,0.19032235443592072,0.09050212055444717
5,0.9387020468711853,0.6972646713256836,0.024913031607866287,0.11555662006139755,0.9455945491790771,0.5597954988479614,0.1861175298690796,0.09088484197854996
6,0.9416599273681641,0.7123045325279236,0.024364931508898735,0.12881256639957428,0.9493098855018616,0.5645232796669006,0.18724483251571655,0.08890712261199951
7,0.9415469765663147,0.7250832915306091,0.02398836240172386,0.12595480680465698,0.9493100047111511,0.5980253219604492,0.18623927235603333,0.09106817841529846
